EvaluationID,StudentID,FacultyID,EvaluationDate,Criterion,Score,ShowMarks,ImprovementNote
PRE-0003-1,STU-0003,FAC-004,2026-02-05,Visual design,72.5,Yes,Improve pacing and use one clearer real-world example.
PRE-0003-1,STU-0003,FAC-004,2026-02-05,Question handling,67.3,Yes,Improve pacing and use one clearer real-world example.
PRE-0003-2,STU-0003,FAC-004,2026-03-12,Content clarity,51.4,No,Improve pacing and use one clearer real-world example.
PRE-0003-2,STU-0003,FAC-004,2026-03-12,Technical depth,62.8,No,Improve pacing and use one clearer real-world example.
PRE-0003-2,STU-0003,FAC-004,2026-03-12,Delivery & confidence,54.7,No,Improve pacing and use one clearer real-world example.
PRE-0003-2,STU-0003,FAC-004,2026-03-12,Visual design,58.1,No,Improve pacing and use one clearer real-world example.
PRE-0003-2,STU-0003,FAC-004,2026-03-12,Question handling,52.2,No,Improve pacing and use one clearer real-world example.
PRE-0003-3,STU-0003,FAC-004,2026-04-16,Content clarity,63.2,Yes,Improve pacing and use one clearer real-world example.
PRE-0003-3,STU-0003,FAC-004,2026-04-16,Technical depth,56.0,Yes,Improve pacing and use one clearer real-world example.
PRE-0003-3,STU-0003,FAC-004,2026-04-16,Delivery & confidence,69.7,Yes,Improve pacing and use one clearer real-world example.
PRE-0003-3,STU-0003,FAC-004,2026-04-16,Visual design,61.9,Yes,Improve pacing and use one clearer real-world example.
PRE-0003-3,STU-0003,FAC-004,2026-04-16,Question handling,65.0,Yes,Improve pacing and use one clearer real-world example.
PRE-0004-1,STU-0004,FAC-005,2026-02-05,Content clarity,65.2,Yes,Improve pacing and use one clearer real-world example.
PRE-0004-1,STU-0004,FAC-005,2026-02-05,Technical depth,60.2,Yes,Improve pacing and use one clearer real-world example.
PRE-0004-1,STU-0004,FAC-005,2026-02-05,Delivery & confidence,63.1,Yes,Improve pacing and use one clearer real-world example.
PRE-0004-1,STU-0004,FAC-005,2026-02-05,Visual design,64.2,Yes,Improve pacing and use one clearer real-world example.
PRE-0004-1,STU-0004,FAC-005,2026-02-05,Question handling,63.0,Yes,Improve pacing and use one clearer real-world example.
PRE-0004-2,STU-0004,FAC-005,2026-03-12,Content clarity,65.3,No,Improve pacing and use one clearer real-world example.
PRE-0004-2,STU-0004,FAC-005,2026-03-12,Technical depth,59.5,No,Improve pacing and use one clearer real-world example.
PRE-0004-2,STU-0004,FAC-005,2026-03-12,Delivery & confidence,58.8,No,Improve pacing and use one clearer real-world example.
PRE-0004-2,STU-0004,FAC-005,2026-03-12,Visual design,58.2,No,Improve pacing and use one clearer real-world example.
PRE-0004-2,STU-0004,FAC-005,2026-03-12,Question handling,55.2,No,Improve pacing and use one clearer real-world example.
PRE-0004-3,STU-0004,FAC-005,2026-04-16,Content clarity,64.8,Yes,Improve pacing and use one clearer real-world example.
PRE-0004-3,STU-0004,FAC-005,2026-04-16,Technical depth,81.5,Yes,Improve pacing and use one clearer real-world example.
PRE-0004-3,STU-0004,FAC-005,2026-04-16,Delivery & confidence,70.2,Yes,Improve pacing and use one clearer real-world example.
PRE-0004-3,STU-0004,FAC-005,2026-04-16,Visual design,75.0,Yes,Improve pacing and use one clearer real-world example.
PRE-0004-3,STU-0004,FAC-005,2026-04-16,Question handling,83.6,Yes,Improve pacing and use one clearer real-world example.
PRE-0005-1,STU-0005,FAC-006,2026-02-05,Content clarity,81.5,Yes,Improve pacing and use one clearer real-world example.
PRE-0005-1,STU-0005,FAC-006,2026-02-05,Technical depth,84.8,Yes,Improve pacing and use one clearer real-world example.
PRE-0005-1,STU-0005,FAC-006,2026-02-05,Delivery & confidence,76.0,Yes,Improve pacing and use one clearer real-world example.
PRE-0005-1,STU-0005,FAC-006,2026-02-05,Visual design,83.5,Yes,Improve pacing and use one clearer real-world example.
PRE-0005-1,STU-0005,FAC-006,2026-02-05,Question handling,78.1,Yes,Improve pacing and use one clearer real-world example.
PRE-0005-2,STU-0005,FAC-006,2026-03-12,Content clarity,76.3,No,Improve pacing and use one clearer real-world example.
PRE-0005-2,STU-0005,FAC-006,2026-03-12,Technical depth,74.0,No,Improve pacing and use one clearer real-world example.
PRE-0005-2,STU-0005,FAC-006,2026-03-12,Delivery & confidence,75.9,No,Improve pacing and use one clearer real-world example.
PRE-0005-2,STU-0005,FAC-006,2026-03-12,Visual design,83.5,No,Improve pacing and use one clearer real-world example.
PRE-0005-2,STU-0005,FAC-006,2026-03-12,Question handling,77.5,No,Improve pacing and use one clearer real-world example.
PRE-0005-3,STU-0005,FAC-006,2026-04-16,Content clarity,94.8,Yes,Improve pacing and use one clearer real-world example.
PRE-0005-3,STU-0005,FAC-006,2026-04-16,Technical depth,78.2,Yes,Improve pacing and use one clearer real-world example.
PRE-0005-3,STU-0005,FAC-006,2026-04-16,Delivery & confidence,91.2,Yes,Improve pacing and use one clearer real-world example.
PRE-0005-3,STU-0005,FAC-006,2026-04-16,Visual design,78.1,Yes,Improve pacing and use one clearer real-world example.
PRE-0005-3,STU-0005,FAC-006,2026-04-16,Question handling,93.8,Yes,Improve pacing and use one clearer real-world example.
PRE-0006-1,STU-0006,FAC-001,2026-02-05,Content clarity,50.6,Yes,Improve pacing and use one clearer real-world example.
PRE-0006-1,STU-0006,FAC-001,2026-02-05,Technical depth,57.5,Yes,Improve pacing and use one clearer real-world example.
PRE-0006-1,STU-0006,FAC-001,2026-02-05,Delivery & confidence,60.9,Yes,Improve pacing and use one clearer real-world example.
PRE-0006-1,STU-0006,FAC-001,2026-02-05,Visual design,56.4,Yes,Improve pacing and use one clearer real-world example.
PRE-0006-1,STU-0006,FAC-001,2026-02-05,Question handling,47.2,Yes,Improve pacing and use one clearer real-world example.
PRE-0006-2,STU-0006,FAC-001,2026-03-12,Content clarity,55.9,No,Improve pacing and use one clearer real-world example.
PRE-0006-2,STU-0006,FAC-001,2026-03-12,Technical depth,64.6,No,Improve pacing and use one clearer real-world example.
PRE-0006-2,STU-0006,FAC-001,2026-03-12,Delivery & confidence,60.4,No,Improve pacing and use one clearer real-world example.
PRE-0006-2,STU-0006,FAC-001,2026-03-12,Visual design,67.9,No,Improve pacing and use one clearer real-world example.
PRE-0006-2,STU-0006,FAC-001,2026-03-12,Question handling,57.8,No,Improve pacing and use one clearer real-world example.
PRE-0006-3,STU-0006,FAC-001,2026-04-16,Content clarity,60.2,Yes,Improve pacing and use one clearer real-world example.
PRE-0006-3,STU-0006,FAC-001,2026-04-16,Technical depth,46.0,Yes,Improve pacing and use one clearer real-world example.
PRE-0006-3,STU-0006,FAC-001,2026-04-16,Delivery & confidence,52.9,Yes,Improve pacing and use one clearer real-world example.
PRE-0006-3,STU-0006,FAC-001,2026-04-16,Visual design,46.2,Yes,Improve pacing and use one clearer real-world example.
PRE-0006-3,STU-0006,FAC-001,2026-04-16,Question handling,46.1,Yes,Improve pacing and use one clearer real-world example.
PRE-0007-1,STU-0007,FAC-002,2026-02-05,Content clarity,81.8,Yes,Improve pacing and use one clearer real-world example.
PRE-0007-1,STU-0007,FAC-002,2026-02-05,Technical depth,86.3,Yes,Improve pacing and use one clearer real-world example.
PRE-0007-1,STU-0007,FAC-002,2026-02-05,Delivery & confidence,79.2,Yes,Improve pacing and use one clearer real-world example.
PRE-0007-1,STU-0007,FAC-002,2026-02-05,Visual design,93.4,Yes,Improve pacing and use one clearer real-world example.
PRE-0007-1,STU-0007,FAC-002,2026-02-05,Question handling,88.3,Yes,Improve pacing and use one clearer real-world example.
PRE-0007-2,STU-0007,FAC-002,2026-03-12,Content clarity,64.9,No,Improve pacing and use one clearer real-world example.
PRE-0007-2,STU-0007,FAC-002,2026-03-12,Technical depth,60.3,No,Improve pacing and use one clearer real-world example.
PRE-0007-2,STU-0007,FAC-002,2026-03-12,Delivery & confidence,60.3,No,Improve pacing and use one clearer real-world example.
PRE-0007-2,STU-0007,FAC-002,2026-03-12,Visual design,59.4,No,Improve pacing and use one clearer real-world example.
PRE-0007-2,STU-0007,FAC-002,2026-03-12,Question handling,69.9,No,Improve pacing and use one clearer real-world example.
PRE-0007-3,STU-0007,FAC-002,2026-04-16,Content clarity,92.0,Yes,Improve pacing and use one clearer real-world example.
PRE-0007-3,STU-0007,FAC-002,2026-04-16,Technical depth,77.1,Yes,Improve pacing and use one clearer real-world example.
PRE-0007-3,STU-0007,FAC-002,2026-04-16,Delivery & confidence,94.9,Yes,Improve pacing and use one clearer real-world example.
PRE-0007-3,STU-0007,FAC-002,2026-04-16,Visual design,82.3,Yes,Improve pacing and use one clearer real-world example.
PRE-0007-3,STU-0007,FAC-002,2026-04-16,Question handling,92.5,Yes,Improve pacing and use one clearer real-world example.
PRE-0008-1,STU-0008,FAC-003,2026-02-05,Content clarity,58.0,Yes,Improve pacing and use one clearer real-world example.
PRE-0008-1,STU-0008,FAC-003,2026-02-05,Technical depth,56.0,Yes,Improve pacing and use one clearer real-world example.
PRE-0008-1,STU-0008,FAC-003,2026-02-05,Delivery & confidence,55.9,Yes,Improve pacing and use one clearer real-world example.
PRE-0008-1,STU-0008,FAC-003,2026-02-05,Visual design,51.0,Yes,Improve pacing and use one clearer real-world example.
PRE-0008-1,STU-0008,FAC-003,2026-02-05,Question handling,66.5,Yes,Improve pacing and use one clearer real-world example.
PRE-0008-2,STU-0008,FAC-003,2026-03-12,Content clarity,65.1,No,Improve pacing and use one clearer real-world example.
PRE-0008-2,STU-0008,FAC-003,2026-03-12,Technical depth,73.2,No,Improve pacing and use one clearer real-world example.
PRE-0008-2,STU-0008,FAC-003,2026-03-12,Delivery & confidence,75.2,No,Improve pacing and use one clearer real-world example.
PRE-0008-2,STU-0008,FAC-003,2026-03-12,Visual design,69.0,No,Improve pacing and use one clearer real-world example.
PRE-0008-2,STU-0008,FAC-003,2026-03-12,Question handling,65.2,No,Improve pacing and use one clearer real-world example.
PRE-0008-3,STU-0008,FAC-003,2026-04-16,Content clarity,66.2,Yes,Improve pacing and use one clearer real-world example.
PRE-0008-3,STU-0008,FAC-003,2026-04-16,Technical depth,65.1,Yes,Improve pacing and use one clearer real-world example.
PRE-0008-3,STU-0008,FAC-003,2026-04-16,Delivery & confidence,57.0,Yes,Improve pacing and use one clearer real-world example.
PRE-0008-3,STU-0008,FAC-003,2026-04-16,Visual design,69.4,Yes,Improve pacing and use one clearer real-world example.
PRE-0008-3,STU-0008,FAC-003,2026-04-16,Question handling,71.7,Yes,Improve pacing and use one clearer real-world example.
PRE-0009-1,STU-0009,FAC-004,2026-02-05,Content clarity,54.9,Yes,Improve pacing and use one clearer real-world example.
PRE-0009-1,STU-0009,FAC-004,2026-02-05,Technical depth,44.3,Yes,Improve pacing and use one clearer real-world example.
PRE-0009-1,STU-0009,FAC-004,2026-02-05,Delivery & confidence,53.0,Yes,Improve pacing and use one clearer real-world example.
PRE-0009-1,STU-0009,FAC-004,2026-02-05,Visual design,44.9,Yes,Improve pacing and use one clearer real-world example.
PRE-0009-1,STU-0009,FAC-004,2026-02-05,Question handling,49.5,Yes,Improve pacing and use one clearer real-world example.
PRE-0009-2,STU-0009,FAC-004,2026-03-12,Content clarity,47.9,No,Improve pacing and use one clearer real-world example.
PRE-0009-2,STU-0009,FAC-004,2026-03-12,Technical depth,55.4,No,Improve pacing and use one clearer real-world example.
PRE-0009-2,STU-0009,FAC-004,2026-03-12,Delivery & confidence,57.4,No,Improve pacing and use one clearer real-world example.
PRE-0009-2,STU-0009,FAC-004,2026-03-12,Visual design,47.0,No,Improve pacing and use one clearer real-world example.
PRE-0009-2,STU-0009,FAC-004,2026-03-12,Question handling,59.3,No,Improve pacing and use one clearer real-world example.
PRE-0009-3,STU-0009,FAC-004,2026-04-16,Content clarity,69.2,Yes,Improve pacing and use one clearer real-world example.
PRE-0009-3,STU-0009,FAC-004,2026-04-16,Technical depth,64.6,Yes,Improve pacing and use one clearer real-world example.
PRE-0009-3,STU-0009,FAC-004,2026-04-16,Delivery & confidence,76.6,Yes,Improve pacing and use one clearer real-world example.
PRE-0009-3,STU-0009,FAC-004,2026-04-16,Visual design,71.9,Yes,Improve pacing and use one clearer real-world example.
PRE-0009-3,STU-0009,FAC-004,2026-04-16,Question handling,80.4,Yes,Improve pacing and use one clearer real-world example.
PRE-0010-1,STU-0010,FAC-005,2026-02-05,Content clarity,84.3,Yes,Improve pacing and use one clearer real-world example.
PRE-0010-1,STU-0010,FAC-005,2026-02-05,Technical depth,87.7,Yes,Improve pacing and use one clearer real-world example.
PRE-0010-1,STU-0010,FAC-005,2026-02-05,Delivery & confidence,82.7,Yes,Improve pacing and use one clearer real-world example.
PRE-0010-1,STU-0010,FAC-005,2026-02-05,Visual design,85.0,Yes,Improve pacing and use one clearer real-world example.
PRE-0010-1,STU-0010,FAC-005,2026-02-05,Question handling,78.7,Yes,Improve pacing and use one clearer real-world example.
PRE-0010-2,STU-0010,FAC-005,2026-03-12,Content clarity,73.4,No,Improve pacing and use one clearer real-world example.
PRE-0010-2,STU-0010,FAC-005,2026-03-12,Technical depth,65.2,No,Improve pacing and use one clearer real-world example.
PRE-0010-2,STU-0010,FAC-005,2026-03-12,Delivery & confidence,78.7,No,Improve pacing and use one clearer real-world example.
PRE-0010-2,STU-0010,FAC-005,2026-03-12,Visual design,70.9,No,Improve pacing and use one clearer real-world example.
PRE-0010-2,STU-0010,FAC-005,2026-03-12,Question handling,67.9,No,Improve pacing and use one clearer real-world example.
PRE-0010-3,STU-0010,FAC-005,2026-04-16,Content clarity,81.5,Yes,Improve pacing and use one clearer real-world example.
PRE-0010-3,STU-0010,FAC-005,2026-04-16,Technical depth,87.9,Yes,Improve pacing and use one clearer real-world example.
PRE-0010-3,STU-0010,FAC-005,2026-04-16,Delivery & confidence,76.3,Yes,Improve pacing and use one clearer real-world example.
PRE-0010-3,STU-0010,FAC-005,2026-04-16,Visual design,77.6,Yes,Improve pacing and use one clearer real-world example.
PRE-0010-3,STU-0010,FAC-005,2026-04-16,Question handling,78.0,Yes,Improve pacing and use one clearer real-world example.
PRE-0011-1,STU-0011,FAC-006,2026-02-05,Content clarity,48.2,Yes,Improve pacing and use one clearer real-world example.
PRE-0011-1,STU-0011,FAC-006,2026-02-05,Technical depth,44.2,Yes,Improve pacing and use one clearer real-world example.
PRE-0011-1,STU-0011,FAC-006,2026-02-05,Delivery & confidence,52.1,Yes,Improve pacing and use one clearer real-world example.
PRE-0011-1,STU-0011,FAC-006,2026-02-05,Visual design,41.9,Yes,Improve pacing and use one clearer real-world example.
PRE-0011-1,STU-0011,FAC-006,2026-02-05,Question handling,59.1,Yes,Improve pacing and use one clearer real-world example.
PRE-0011-2,STU-0011,FAC-006,2026-03-12,Content clarity,40.8,No,Improve pacing and use one clearer real-world example.
PRE-0011-2,STU-0011,FAC-006,2026-03-12,Technical depth,49.4,No,Improve pacing and use one clearer real-world example.
PRE-0011-2,STU-0011,FAC-006,2026-03-12,Delivery & confidence,44.2,No,Improve pacing and use one clearer real-world example.
PRE-0011-2,STU-0011,FAC-006,2026-03-12,Visual design,50.8,No,Improve pacing and use one clearer real-world example.
PRE-0011-2,STU-0011,FAC-006,2026-03-12,Question handling,51.1,No,Improve pacing and use one clearer real-world example.
PRE-0011-3,STU-0011,FAC-006,2026-04-16,Content clarity,71.9,Yes,Improve pacing and use one clearer real-world example.
PRE-0011-3,STU-0011,FAC-006,2026-04-16,Technical depth,58.3,Yes,Improve pacing and use one clearer real-world example.
PRE-0011-3,STU-0011,FAC-006,2026-04-16,Delivery & confidence,75.0,Yes,Improve pacing and use one clearer real-world example.
PRE-0011-3,STU-0011,FAC-006,2026-04-16,Visual design,59.0,Yes,Improve pacing and use one clearer real-world example.
PRE-0011-3,STU-0011,FAC-006,2026-04-16,Question handling,60.1,Yes,Improve pacing and use one clearer real-world example.
PRE-0012-1,STU-0012,FAC-001,2026-02-05,Content clarity,61.1,Yes,Improve pacing and use one clearer real-world example.
PRE-0012-1,STU-0012,FAC-001,2026-02-05,Technical depth,59.6,Yes,Improve pacing and use one clearer real-world example.
PRE-0012-1,STU-0012,FAC-001,2026-02-05,Delivery & confidence,57.6,Yes,Improve pacing and use one clearer real-world example.
PRE-0012-1,STU-0012,FAC-001,2026-02-05,Visual design,49.6,Yes,Improve pacing and use one clearer real-world example.
PRE-0012-1,STU-0012,FAC-001,2026-02-05,Question handling,47.9,Yes,Improve pacing and use one clearer real-world example.
PRE-0012-2,STU-0012,FAC-001,2026-03-12,Content clarity,82.6,No,Improve pacing and use one clearer real-world example.
PRE-0012-2,STU-0012,FAC-001,2026-03-12,Technical depth,73.6,No,Improve pacing and use one clearer real-world example.
PRE-0012-2,STU-0012,FAC-001,2026-03-12,Delivery & confidence,71.8,No,Improve pacing and use one clearer real-world example.
PRE-0012-2,STU-0012,FAC-001,2026-03-12,Visual design,75.6,No,Improve pacing and use one clearer real-world example.
PRE-0012-2,STU-0012,FAC-001,2026-03-12,Question handling,73.6,No,Improve pacing and use one clearer real-world example.
PRE-0012-3,STU-0012,FAC-001,2026-04-16,Content clarity,54.2,Yes,Improve pacing and use one clearer real-world example.
PRE-0012-3,STU-0012,FAC-001,2026-04-16,Technical depth,59.3,Yes,Improve pacing and use one clearer real-world example.
PRE-0012-3,STU-0012,FAC-001,2026-04-16,Delivery & confidence,57.8,Yes,Improve pacing and use one clearer real-world example.
PRE-0012-3,STU-0012,FAC-001,2026-04-16,Visual design,59.9,Yes,Improve pacing and use one clearer real-world example.
PRE-0012-3,STU-0012,FAC-001,2026-04-16,Question handling,54.8,Yes,Improve pacing and use one clearer real-world example.
PRE-0013-1,STU-0013,FAC-002,2026-02-05,Content clarity,71.0,Yes,Improve pacing and use one clearer real-world example.
PRE-0013-1,STU-0013,FAC-002,2026-02-05,Technical depth,76.5,Yes,Improve pacing and use one clearer real-world example.
PRE-0013-1,STU-0013,FAC-002,2026-02-05,Delivery & confidence,73.1,Yes,Improve pacing and use one clearer real-world example.
PRE-0013-1,STU-0013,FAC-002,2026-02-05,Visual design,72.6,Yes,Improve pacing and use one clearer real-world example.
PRE-0013-1,STU-0013,FAC-002,2026-02-05,Question handling,74.9,Yes,Improve pacing and use one clearer real-world example.
PRE-0013-2,STU-0013,FAC-002,2026-03-12,Content clarity,70.0,No,Improve pacing and use one clearer real-world example.
PRE-0013-2,STU-0013,FAC-002,2026-03-12,Technical depth,70.9,No,Improve pacing and use one clearer real-world example.
PRE-0013-2,STU-0013,FAC-002,2026-03-12,Delivery & confidence,81.0,No,Improve pacing and use one clearer real-world example.
PRE-0013-2,STU-0013,FAC-002,2026-03-12,Visual design,70.0,No,Improve pacing and use one clearer real-world example.
PRE-0013-2,STU-0013,FAC-002,2026-03-12,Question handling,76.2,No,Improve pacing and use one clearer real-world example.
PRE-0013-3,STU-0013,FAC-002,2026-04-16,Content clarity,76.3,Yes,Improve pacing and use one clearer real-world example.
PRE-0013-3,STU-0013,FAC-002,2026-04-16,Technical depth,76.7,Yes,Improve pacing and use one clearer real-world example.
PRE-0013-3,STU-0013,FAC-002,2026-04-16,Delivery & confidence,76.8,Yes,Improve pacing and use one clearer real-world example.
PRE-0013-3,STU-0013,FAC-002,2026-04-16,Visual design,66.4,Yes,Improve pacing and use one clearer real-world example.
PRE-0013-3,STU-0013,FAC-002,2026-04-16,Question handling,67.0,Yes,Improve pacing and use one clearer real-world example.
PRE-0014-1,STU-0014,FAC-003,2026-02-05,Content clarity,81.9,Yes,Improve pacing and use one clearer real-world example.
PRE-0014-1,STU-0014,FAC-003,2026-02-05,Technical depth,87.6,Yes,Improve pacing and use one clearer real-world example.
PRE-0014-1,STU-0014,FAC-003,2026-02-05,Delivery & confidence,77.5,Yes,Improve pacing and use one clearer real-world example.
PRE-0014-1,STU-0014,FAC-003,2026-02-05,Visual design,76.0,Yes,Improve pacing and use one clearer real-world example.
PRE-0014-1,STU-0014,FAC-003,2026-02-05,Question handling,72.1,Yes,Improve pacing and use one clearer real-world example.
PRE-0014-2,STU-0014,FAC-003,2026-03-12,Content clarity,81.8,No,Improve pacing and use one clearer real-world example.
PRE-0014-2,STU-0014,FAC-003,2026-03-12,Technical depth,74.3,No,Improve pacing and use one clearer real-world example.
PRE-0014-2,STU-0014,FAC-003,2026-03-12,Delivery & confidence,74.0,No,Improve pacing and use one clearer real-world example.
PRE-0014-2,STU-0014,FAC-003,2026-03-12,Visual design,78.5,No,Improve pacing and use one clearer real-world example.
PRE-0014-2,STU-0014,FAC-003,2026-03-12,Question handling,87.7,No,Improve pacing and use one clearer real-world example.
PRE-0014-3,STU-0014,FAC-003,2026-04-16,Content clarity,62.9,Yes,Improve pacing and use one clearer real-world example.
PRE-0014-3,STU-0014,FAC-003,2026-04-16,Technical depth,58.5,Yes,Improve pacing and use one clearer real-world example.
PRE-0014-3,STU-0014,FAC-003,2026-04-16,Delivery & confidence,67.1,Yes,Improve pacing and use one clearer real-world example.
PRE-0014-3,STU-0014,FAC-003,2026-04-16,Visual design,75.0,Yes,Improve pacing and use one clearer real-world example.
PRE-0014-3,STU-0014,FAC-003,2026-04-16,Question handling,61.4,Yes,Improve pacing and use one clearer real-world example.
PRE-0015-1,STU-0015,FAC-004,2026-02-05,Content clarity,79.7,Yes,Improve pacing and use one clearer real-world example.
PRE-0015-1,STU-0015,FAC-004,2026-02-05,Technical depth,64.4,Yes,Improve pacing and use one clearer real-world example.
PRE-0015-1,STU-0015,FAC-004,2026-02-05,Delivery & confidence,62.9,Yes,Improve pacing and use one clearer real-world example.
PRE-0015-1,STU-0015,FAC-004,2026-02-05,Visual design,64.1,Yes,Improve pacing and use one clearer real-world example.
PRE-0015-1,STU-0015,FAC-004,2026-02-05,Question handling,72.3,Yes,Improve pacing and use one clearer real-world example.
PRE-0015-2,STU-0015,FAC-004,2026-03-12,Content clarity,84.2,No,Improve pacing and use one clearer real-world example.
PRE-0015-2,STU-0015,FAC-004,2026-03-12,Technical depth,72.1,No,Improve pacing and use one clearer real-world example.
PRE-0015-2,STU-0015,FAC-004,2026-03-12,Delivery & confidence,82.0,No,Improve pacing and use one clearer real-world example.
PRE-0015-2,STU-0015,FAC-004,2026-03-12,Visual design,69.9,No,Improve pacing and use one clearer real-world example.
PRE-0015-2,STU-0015,FAC-004,2026-03-12,Question handling,74.7,No,Improve pacing and use one clearer real-world example.
PRE-0015-3,STU-0015,FAC-004,2026-04-16,Content clarity,76.3,Yes,Improve pacing and use one clearer real-world example.
PRE-0015-3,STU-0015,FAC-004,2026-04-16,Technical depth,76.5,Yes,Improve pacing and use one clearer real-world example.
PRE-0015-3,STU-0015,FAC-004,2026-04-16,Delivery & confidence,80.6,Yes,Improve pacing and use one clearer real-world example.
PRE-0015-3,STU-0015,FAC-004,2026-04-16,Visual design,84.6,Yes,Improve pacing and use one clearer real-world example.
PRE-0015-3,STU-0015,FAC-004,2026-04-16,Question handling,80.7,Yes,Improve pacing and use one clearer real-world example.
PRE-0016-1,STU-0016,FAC-005,2026-02-05,Content clarity,70.9,Yes,Improve pacing and use one clearer real-world example.
PRE-0016-1,STU-0016,FAC-005,2026-02-05,Technical depth,72.1,Yes,Improve pacing and use one clearer real-world example.
PRE-0016-1,STU-0016,FAC-005,2026-02-05,Delivery & confidence,74.0,Yes,Improve pacing and use one clearer real-world example.
PRE-0016-1,STU-0016,FAC-005,2026-02-05,Visual design,63.4,Yes,Improve pacing and use one clearer real-world example.
PRE-0016-1,STU-0016,FAC-005,2026-02-05,Question handling,75.5,Yes,Improve pacing and use one clearer real-world example.
PRE-0016-2,STU-0016,FAC-005,2026-03-12,Content clarity,47.1,No,Improve pacing and use one clearer real-world example.
PRE-0016-2,STU-0016,FAC-005,2026-03-12,Technical depth,54.1,No,Improve pacing and use one clearer real-world example.
PRE-0016-2,STU-0016,FAC-005,2026-03-12,Delivery & confidence,45.9,No,Improve pacing and use one clearer real-world example.
